fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
1399,73,213.36263736263737,360.5305466774623,1399,68,1077.8342391304348,551.9934794249674,1820,0.623045,0.0016976702997275,0.100179,0.0,0.007279839433116,0.623045,0.0069227222222222,0.168838,0.0,0.0192768295958459,34578,443,91,19416,636620.1478223884,590.6475455223941,146.0568658764616,91,19416,0,UDP,0
100,100,100.0,0.0,165,100,123.6,29.152015367723724,60,0.157412,0.039353,0.087598,0.0,0.0397276296612319,0.000285,0.0001425,0.000285,0.0,0.0001425,34468,53,3,300,3926.003100144843,31.76377912738546,19.05826747643128,3,300,0,UDP,0
71,71,71.0,0.0,231,71,125.4,68.33330081300039,60,0.160902,0.0402255,0.105348,0.0,0.0438814385674626,8.8e-05,4.4e-05,8.8e-05,0.0,4.4e-05,47570,53,3,213,3896.78189208338,31.074815726342745,18.64488943580565,3,213,0,UDP,0
71,71,71.0,0.0,231,71,125.4,68.33330081300039,60,0.150142,0.0375355,0.09448,0.0,0.0399022815419118,0.000183,9.15e-05,0.000183,0.0,9.15e-05,49953,53,3,213,4176.046675813564,33.30180762211773,19.98108457327064,3,213,0,UDP,0
1399,71,145.97058823529412,203.5299494212552,1399,69,1121.2736625514403,528.2004167480757,2040,1.171521,0.0024155072164948,0.351197,0.0,0.0175069614759989,1.122678,0.0111156237623762,0.351197,0.0,0.0387128884990212,48903,443,102,14889,465155.1273942165,414.8453164732002,87.06630098820251,102,14889,0,UDP,0
71,71,71.0,0.0,231,71,124.33333333333331,75.42472332656507,40,0.046797,0.0233985,0.046797,0.0,0.0233985,0.0,0.0,0.0,0.0,0.0,34618,53,2,142,7970.596405752506,64.10667350471185,42.73778233647456,2,142,0,UDP,0
71,71,71.0,0.0,199,71,113.66666666666669,60.339778661252055,40,0.049835,0.0249175,0.049835,0.0,0.0249175,0.0,0.0,0.0,0.0,0.0,40015,53,2,142,6842.580515701817,60.19865556335909,40.1324370422394,2,142,0,UDP,0
1399,71,137.79343733189887,199.3044153106263,1399,67,1135.9249812453113,519.8785184395815,37180,92.767913,0.0099429703108252,7.768379,0.0,0.2213181931021484,92.767913,0.0499289090419806,7.772919,0.0,0.494054708738351,35894,443,1859,256158,114256.27307148757,100.58434752110897,20.03925646144481,1859,256158,0,UDP,0
1399,71,312.46153846153845,472.3870016098462,1399,68,854.8947368421053,622.0912011947107,260,0.532726,0.014398,0.190205,0.0,0.0361994919622406,0.478446,0.0398704999999999,0.190205,0.0,0.0644957753274067,40490,443,13,4062,60980.69176274482,71.33122843638192,24.40278867560434,13,4062,0,UDP,0
87,87,87.0,0.0,115,87,95.8,11.42628548566856,60,0.057643,0.01441075,0.042966,0.0,0.0175229560773146,8.9e-05,4.45e-05,8.9e-05,0.0,4.45e-05,51919,53,3,261,8309.768749024166,86.74080113803932,52.04448068282359,3,261,0,UDP,0
1399,73,447.25,555.1310093122163,1399,66,415.1034482758621,520.3677310377257,320,0.519353,0.0185483214285714,0.201251,0.0,0.0383815515710845,0.519353,0.0346235333333333,0.201697,0.0,0.0489416099093149,51197,443,16,7156,23178.83982570621,55.83870700660245,30.807562486401352,16,7156,0,UDP,0
74,74,74.0,0.0,90,74,79.33333333333333,7.542472332656507,40,0.040055,0.0200275,0.040055,0.0,0.0200275,0.0,0.0,0.0,0.0,0.0,35902,53,2,148,5941.829983772313,74.89701660217202,49.93134440144801,2,148,0,UDP,0
77,77,77.0,0.0,105,77,85.8,11.42628548566856,60,0.158908,0.039727,0.104149,0.0,0.0433761196109103,6.1e-05,3.05e-05,6.1e-05,0.0,3.05e-05,38211,53,3,231,2699.675283812017,31.46474689757596,18.87884813854557,3,231,0,UDP,0
77,77,77.0,0.0,93,77,82.33333333333333,7.542472332656507,40,0.060948,0.030474,0.060948,0.0,0.030474,0.0,0.0,0.0,0.0,0.0,49427,53,2,154,4052.635033143007,49.22228785193936,32.81485856795957,2,154,0,UDP,0
