fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_technique,label_binary,label_protocol
92,92,92.0,0.0,92,92,92.0,0.0,240,66.41903,6.038093636,6.875736,0,1.910868204,66.41903,6.038093636,6.875736,0,1.910868204,36290,9970,12,1104,16.62174229,0.180671112,0.180671112,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418896,6.038081455,6.875696,0,1.910864105,66.418896,6.038081455,6.875696,0,1.910864105,36290,9971,12,1104,16.62177583,0.180671476,0.180671476,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418732,6.038066545,6.875813,0,1.910862567,66.418732,6.038066545,6.875813,0,1.910862567,36290,9972,12,1104,16.62181687,0.180671922,0.180671922,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418803,6.038073,6.875334,0,1.910857949,66.418803,6.038073,6.875334,0,1.910857949,36290,9973,12,1104,16.6217991,0.180671729,0.180671729,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418814,6.038074,6.87516,0,1.910856974,66.418814,6.038074,6.87516,0,1.910856974,36290,9974,12,1104,16.62179635,0.180671699,0.180671699,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419095,6.038099545,6.875073,0,1.910862903,66.419095,6.038099545,6.875073,0,1.910862903,36290,9975,12,1104,16.62172603,0.180670935,0.180670935,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419193,6.038108455,6.874764,0,1.910862157,66.419193,6.038108455,6.874764,0,1.910862157,36290,9976,12,1104,16.6217015,0.180670668,0.180670668,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419139,6.038103545,6.874916,0,1.910862724,66.419139,6.038103545,6.874916,0,1.910862724,36290,9977,12,1104,16.62171502,0.180670815,0.180670815,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419089,6.038099,6.874848,0,1.910860537,66.419089,6.038099,6.874848,0,1.910860537,36290,9978,12,1104,16.62172753,0.180670951,0.180670951,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419511,6.038137364,6.874926,0,1.910872998,66.419511,6.038137364,6.874926,0,1.910872998,36290,9979,12,1104,16.62162192,0.180669803,0.180669803,12,1104,2,1,UDP
